User,Location,Rating
1,"Harbour Island, Bahamas",5
1,"Telluride, Colorado",4.5
1,"Aspen, Colorado",4.5
1,"New York City, New York",4
1,"New Orleans, Louisiana",4
2,"Cabo San Lucas, Mexico",4.5
2,"Telluride, Colorado",5
2,"Aspen, Colorado",4
2,"Destin, Florida",4
2,"Belize City, Belize",5
3,"New Orleans, Louisiana",4.5
3,"Cayman, Cayman Islands",3.5
3,"Destin, Florida",5
3,"Punta Cana, Domican Republic",4
3,"Turks and Caicos, Turks and Caicos",3.5
4,"Destin, Florida",2.5
4,"San Antonio, Texas",5
4,"Telluride, Colorado",4
4,"Chicago, Illinois",3.5
4,"Houston, Texas",1
5,"Cape Town, South Africa",4
5,"Paris, France",1.5
5,"Nice, France",4.5
5,"Austin, Texas",5
5,"London, UK",4
6,"Cape Town, South Africa",5
6,"Gulf Shores, Alabama ",4
6,"Destin, Florida",3
6,"Jackson, Mississippi",1.5
7,"Orlando, Florida",5
7,"Nice, France",3
7,"Geneva, Switzerland",5
7,"Dublin, Ireland",5
7,"Lexington, Kentucky",4
8,"New York City, New York",4.5
8,"Seoul, South Korea",5
8,"Vancouver, Canada",3.5
8,"Toronto, Canada",4
8,"Macau, China",4
9,"Cayman, Cayman Islands",4.5
9,"Lisbon, Portugal",5
9,"Belize City, Belize",3
9,"Geneva, Switzerland",4
9,"Punta Cana, Domican Republic",3
10,"Rome, Italy",4
10,"London, UK",4.5
10,"Berlin, Germany",5
10,"Madrid, Spain",5
10,"Florence, Italy",5
11,"New York City, New York",3
11,"Milwaukee, Wisconsin",4.5
11,"Omaha, Nebraska",3.5
11,"Denver, Colorado",5
11,"San Diego, California",3.5
12,"Barcelona, Spain",5
12,"San Juan, Puerto Rico",5
12,"Rome, Italy",4.5
12,"Athens, Greece",4.5
12,"St. John, Virgin Islands",5
13,"Vancouver, Canada",4
13,"Miami, Florida",3.5
13,"Ogunquit, Maine",3.5
13,"Ocean City, Maryland",4
13,"Toronto, Canada",3.5
14,"Los Angeles, California",5
14,"Dublin, Ireland",4
14,"Lake Tahoe, California",4.5
14,"Tokyo, Japan",5
14,"Destin, Florida",3
15,"Madrid, Spain",5
15,"Lisbon, Portugal",5
15,"Rome, Italy",5
15,"Florence, Italy",4.5
15,"Copenhagen, Denmark",5
16,"Los Angeles, California",4
16,"San Diego, California",4
16,"Miami, Florida",3.5
16,"Detroit, Michigan",4.5
16,"Phoenix, Arizona",3.5
17,"Chicago, Illinois",5
17,"Lake Tahoe, California",5
17,"Phoenix, Arizona",5
17,"Ogunquit, Maine",5
17,"Miami, Florida",4.5
18,"Rome, Italy",5
18,"Boston, Massachusetts",5
18,"Vancouver, Canada",5
18,"Denver, Colorado",5
18,"Lake Tahoe, California",5
19,"London, UK",5
19,"Rome, Italy",5
19,"Cabo San Lucas, Mexico",4
19,"Florence, Italy",3
19,"Paris, France",4.5
20,"Lima, Peru",4.5
20,"Havana, Cuba",5
20,"San Francisco, California",3.5
20,"Cape Town, South Africa",4
20,"Istanbul, Turkey",5
21,"Destin, Florida",5
21,"Madrid, Spain",3.5
21,"Rehobeth, Delaware",4
21,"Lake Tahoe, California",4.5
21,"Cayman, Cayman Islands",4
22,"Cape Town, South Africa",4.5
22,"Tulum, Mexico",4
22,"Barcelona, Spain",4
22,"Florence, Italy",5
22,"Toronto, Canada",3
23,"Dublin, Ireland",4.5
23,"Miami, Florida",4
23,"Durham, North Carolina",4
23,"St. Louis, Missouri",4.5
23,"Charlotte, North Carolina",4.5
24,"Dublin, Ireland",4.5
24,"Key West, Florida",4
24,"Paris, France",3.5
24,"London, UK",4
24,"Durham, North Carolina",3.5
25,"Phoenix, Arizona",2
25,"Miami, Florida",4
25,"San Francisco, California",3
25,"Lake Tahoe, California",5
26,"Seoul, South Korea",4
26,"Saigon, Vietnam",3.5
26,"Nashville, Tennessee",4.5
26,"Los Angeles, California",4.5
26,"New York City, New York",4
27,"Lake Tahoe, California",4.5
27,"Telluride, Colorado",4.5
